Person,Sentence
Person3,"Right now, we are really highly focused on our core competency businesses, as I said.
"
Person3,"We have a lot of opportunity within bras, undies, swim, and apparel for sure.
"
Person3,"We did assimilate a team to venture into the beauty business, but we're going to walk before we run.
"
Person3,"We're going to approach it very strategically and do it with some thought and integrity, to be honest.
"
Person4,"Hello, <UNK>.
"
Person4,"This is <UNK>.
"
Person4,"I will take that one.
"
Person4,"In terms of trend of the business, we don't really talk about that within the quarters that we're in.
"
Person4,"But obviously, the first 2.5 weeks here are in the bank.
"
Person4,"We have set our low single-digit guidance and we are confident that we will be able to achieve that.
"
Person4,"As it relates to margin and markdowns, our margin will be up and a lot of it coming on the back of favorable sourcing and great IMU expansion.
"
Person4,"As it relates to markdowns certainly in the back half, we are still baking our plans and assessing the competitive environment.
"
Person4,"But again, I think the cinch point for you is, we expect margins to be up.
"
Person0,"Okay, <UNK>ie, we have time for one more question.
"
Person3,"For aerie, I will just clarify.
"
Person3,"It was 30% of the total aerie business.
"
Person3,"And then what did you ask regarding women's.
"
Person3,"The apparel had some record highs in some of those businesses.
"
Person3,"We look at the apparel business as a complement to our core competency businesses and that's how we're really approaching it.
"
Person3,"For instance, in swim, cover-ups, and we'll continue to approach it that way.
"
Person0,"Great.
"
Person0,"Thanks, everyone.
"
Person0,"That concludes our call today.
"
Person0,"We appreciate your participation and continued interest in American Eagle Outfitters.
"
